wordID,userID,condition,block,score
manier,R_2SAhNfIso86kExM,NC,2,0
manier,R_2SAhNfIso86kExM,NC,3,1
gras,R_2SAhNfIso86kExM,NC,1,1
gras,R_2SAhNfIso86kExM,NC,2,1
gras,R_2SAhNfIso86kExM,NC,3,0
inhoud,R_2SAhNfIso86kExM,C,4,0
inhoud,R_2SAhNfIso86kExM,C,5,1
inhoud,R_2SAhNfIso86kExM,C,6,1
donderdag,R_2SAhNfIso86kExM,C,4,1
donderdag,R_2SAhNfIso86kExM,C,5,1
donderdag,R_2SAhNfIso86kExM,C,6,1
dinsdag,R_2SAhNfIso86kExM,C,4,0
dinsdag,R_2SAhNfIso86kExM,C,5,0
dinsdag,R_2SAhNfIso86kExM,C,6,1
schoonheidssalon,R_2SAhNfIso86kExM,C,4,1
schoonheidssalon,R_2SAhNfIso86kExM,C,5,1
schoonheidssalon,R_2SAhNfIso86kExM,C,6,1
badkamer,R_2SAhNfIso86kExM,C,4,0
badkamer,R_2SAhNfIso86kExM,C,5,0
badkamer,R_2SAhNfIso86kExM,C,6,1
rest,R_2SAhNfIso86kExM,NC,4,0
rest,R_2SAhNfIso86kExM,NC,5,1
rest,R_2SAhNfIso86kExM,NC,6,0
klimaat,R_2SAhNfIso86kExM,NC,4,1
klimaat,R_2SAhNfIso86kExM,NC,5,0
klimaat,R_2SAhNfIso86kExM,NC,6,1
vuur,R_2SAhNfIso86kExM,NC,4,1
vuur,R_2SAhNfIso86kExM,NC,5,1
vuur,R_2SAhNfIso86kExM,NC,6,1
gebed,R_2SAhNfIso86kExM,NC,4,1
gebed,R_2SAhNfIso86kExM,NC,5,1
gebed,R_2SAhNfIso86kExM,NC,6,1
energie,R_2SAhNfIso86kExM,NC,4,1
energie,R_2SAhNfIso86kExM,NC,5,1
energie,R_2SAhNfIso86kExM,NC,6,1
omstandigheden,R_2SAhNfIso86kExM,C,4,0
omstandigheden,R_2SAhNfIso86kExM,C,5,1
omstandigheden,R_2SAhNfIso86kExM,C,6,0
liefde,R_2SAhNfIso86kExM,C,4,0
liefde,R_2SAhNfIso86kExM,C,5,1
liefde,R_2SAhNfIso86kExM,C,6,1
baas,R_2SAhNfIso86kExM,C,4,1
baas,R_2SAhNfIso86kExM,C,5,1
baas,R_2SAhNfIso86kExM,C,6,0
burgemeester,R_2SAhNfIso86kExM,C,4,1
burgemeester,R_2SAhNfIso86kExM,C,5,1
burgemeester,R_2SAhNfIso86kExM,C,6,1
suiker,R_2SAhNfIso86kExM,C,4,1
suiker,R_2SAhNfIso86kExM,C,5,1
suiker,R_2SAhNfIso86kExM,C,6,1
afbeelding,R_2SAhNfIso86kExM,NC,4,1
afbeelding,R_2SAhNfIso86kExM,NC,5,1
afbeelding,R_2SAhNfIso86kExM,NC,6,1
water,R_2SAhNfIso86kExM,NC,4,1
water,R_2SAhNfIso86kExM,NC,5,1
water,R_2SAhNfIso86kExM,NC,6,1
trein,R_2SAhNfIso86kExM,NC,4,1
trein,R_2SAhNfIso86kExM,NC,5,1
trein,R_2SAhNfIso86kExM,NC,6,0
honing,R_2SAhNfIso86kExM,NC,4,1
honing,R_2SAhNfIso86kExM,NC,5,1
honing,R_2SAhNfIso86kExM,NC,6,1
kans,R_2SAhNfIso86kExM,NC,4,0
kans,R_2SAhNfIso86kExM,NC,5,0
kans,R_2SAhNfIso86kExM,NC,6,0
deur,R_2SAhNfIso86kExM,C,4,0
deur,R_2SAhNfIso86kExM,C,5,1
deur,R_2SAhNfIso86kExM,C,6,1
geluk,R_2SAhNfIso86kExM,C,4,1
geluk,R_2SAhNfIso86kExM,C,5,1
geluk,R_2SAhNfIso86kExM,C,6,1
katoen,R_2SAhNfIso86kExM,C,4,1
katoen,R_2SAhNfIso86kExM,C,5,1
katoen,R_2SAhNfIso86kExM,C,6,1
ogen,R_2SAhNfIso86kExM,C,4,1
ogen,R_2SAhNfIso86kExM,C,5,1
ogen,R_2SAhNfIso86kExM,C,6,1
minuut,R_2SAhNfIso86kExM,C,4,1
minuut,R_2SAhNfIso86kExM,C,5,1
minuut,R_2SAhNfIso86kExM,C,6,1
bericht,R_2SAhNfIso86kExM,NC,4,0
bericht,R_2SAhNfIso86kExM,NC,5,1
bericht,R_2SAhNfIso86kExM,NC,6,1
moeder,R_2SAhNfIso86kExM,NC,4,1
moeder,R_2SAhNfIso86kExM,NC,5,1
moeder,R_2SAhNfIso86kExM,NC,6,1
verwachting,R_2SAhNfIso86kExM,NC,4,1
verwachting,R_2SAhNfIso86kExM,NC,5,1
verwachting,R_2SAhNfIso86kExM,NC,6,1
manier,R_2SAhNfIso86kExM,NC,4,0
manier,R_2SAhNfIso86kExM,NC,5,1
manier,R_2SAhNfIso86kExM,NC,6,1
gras,R_2SAhNfIso86kExM,NC,4,1
gras,R_2SAhNfIso86kExM,NC,5,1
gras,R_2SAhNfIso86kExM,NC,6,1
inhoud,R_RKX6uClkalzSL5L,C,1,0
inhoud,R_RKX6uClkalzSL5L,C,2,1
inhoud,R_RKX6uClkalzSL5L,C,3,1
donderdag,R_RKX6uClkalzSL5L,C,1,1
donderdag,R_RKX6uClkalzSL5L,C,2,0
